,-1,-0.3,0,0.3,1,MEMO
1.019|-1.1|0.998|-2.3|0.985|-3.2|1.002|-1.8|0.980|-2.4|,0,0,0,0,6.47E-06,1
1.020|-1.1|0.999|-2.3|0.986|-3.2|1.002|-1.8|0.981|-2.4|,0,0,0,0,4.94E-06,1
1.021|-1.2|1.000|-2.4|0.987|-3.2|1.003|-1.8|0.981|-2.4|,0,0,0,2.91E-06,0,1
1.022|-1.2|1.001|-2.4|0.988|-3.2|1.004|-1.8|0.981|-2.4|,0,-6.95E-06,-2.94E-06,-3.96E-06,3.92E-06,1
1.022|-1.2|1.001|-2.4|0.988|-3.2|1.004|-1.9|0.981|-2.4|,-1.69E-06,-1.03E-06,6.54E-07,-9.41E-06,-1.40E-05,1
1.021|-1.1|1.000|-2.4|0.987|-3.2|1.003|-1.8|0.981|-2.4|,0,-2.50E-06,7.63E-05,0,0,1
1.022|-1.2|1.000|-2.4|0.987|-3.2|1.004|-1.8|0.981|-2.4|,0,-8.21E-07,0,0,0,1
1.023|-1.2|1.001|-2.4|0.988|-3.2|1.004|-1.9|0.981|-2.4|,0,0,1.53E-07,1.87E-07,0,1
1.023|-1.2|1.002|-2.4|0.989|-3.2|1.004|-1.9|0.981|-2.4|,-2.42E-06,0,9.69E-07,0,-5.41E-07,1
1.024|-1.2|1.003|-2.4|0.990|-3.2|1.005|-1.9|0.981|-2.4|,0,0.000144215,0,-7.29E-06,0,1
1.024|-1.2|1.002|-2.4|0.989|-3.2|1.005|-1.9|0.981|-2.4|,2.36E-06,0,0,0,2.00E-06,1
1.023|-1.2|1.001|-2.4|0.988|-3.2|1.004|-1.8|0.981|-2.4|,0,-3.29E-07,0,1.09E-06,8.48E-06,1
1.023|-1.2|1.002|-2.4|0.989|-3.2|1.005|-1.9|0.981|-2.4|,-1.90E-05,0,0,1.03E-06,0,1
1.025|-1.2|1.003|-2.4|0.990|-3.2|1.006|-1.9|0.982|-2.4|,0,1.25E-06,0,0,-3.36E-06,1
1.026|-1.2|1.004|-2.4|0.991|-3.2|1.007|-1.9|0.982|-2.4|,0,0,0,-2.59E-07,0,1
1.026|-1.2|1.005|-2.4|0.992|-3.2|1.007|-1.9|0.982|-2.4|,4.35E-06,0,0.000118816,-2.02E-06,-5.29E-06,1
1.027|-1.2|1.006|-2.4|0.993|-3.2|1.008|-1.9|0.982|-2.4|,0,0,0,-9.37E-07,0,1
1.027|-1.2|1.006|-2.4|0.993|-3.3|1.008|-1.9|0.982|-2.4|,-2.19E-05,0,1.53E-05,-6.83E-06,0,1
1.028|-1.2|1.007|-2.4|0.994|-3.3|1.008|-1.9|0.983|-2.4|,0,0,-1.64E-05,0,-1.16E-05,1
1.029|-1.3|1.008|-2.5|0.995|-3.3|1.009|-1.9|0.983|-2.4|,0,7.85E-06,0,-2.95E-06,-9.87E-07,1
1.030|-1.3|1.009|-2.5|0.996|-3.3|1.010|-1.9|0.983|-2.4|,0,6.71E-06,0,0,0,1
1.030|-1.3|1.009|-2.5|0.997|-3.3|1.010|-1.9|0.983|-2.4|,1.48E-05,0,0,-8.41E-06,-2.39E-05,1
